ULICA;LOKACIJA (OPIS);GRADSKA ÈETVRT
Park u Radnièkom dolu;;GORNJI GRAD
Tkalèiæeva ulica;nasuprot Kaptol centra;GORNJI GRAD
Biskupa Galjufa;ugao sa Petrovom;GORNJI GRAD
Hercegovaèka 14;ugao sa Jadranskom;GORNJI GRAD
Hercegovaèka 111;;GORNJI GRAD
Horvatovac 58;;GORNJI GRAD
Kraljevec 22;okretište autobusa;GORNJI GRAD
Medvedgradska 2;kod Gliptoteke;GORNJI GRAD
Nova Ves 48;;GORNJI GRAD
Pantovèak 50;;GORNJI GRAD
Petrova ulica;kod Petretiæevog trga;GORNJI GRAD
Pod zidom;kod parking automata;GORNJI GRAD
Tkalèiæeva 71a;;GORNJI GRAD
Trg Josipa Langa;kod benzinske stanice;GORNJI GRAD
Ulica Ambroza i Klotilde Vranyczany;Vranyczayjeva livada kod DHMZ-a;GORNJI GRAD
Ulica Pavla Radiæa 74;kod Ilirskog trga;GORNJI GRAD
Vlaška;ugao sa Palmotiæevom;GORNJI GRAD
Voæarska ;ugao sa Posiloviæevom;GORNJI GRAD
Zeleni dol 11;;GORNJI GRAD
Branimirova 4;prema peronima, lijeva strana ulaza u poštu;DONJI GRAD
Križanje Martièeve i Vojnoviæeve ulice;;DONJI GRAD
Varšavska 18;istoèno uz ogradu škole J.J.Strossmayera;DONJI GRAD
Trga žrtava fašizma;južna strana, kod kuænog broja 12;DONJI GRAD
Savska 25;ulaz u dvorište Studentskog centra;DONJI GRAD
križanje Domagojeve i Ulice kneza Borne;južni dio;DONJI GRAD
J. Žerjaviæa 2;;DONJI GRAD
Deželiæeva;kod križanja sa Kaèiæevom;DONJI GRAD
Ulica Ljudevita Posavskoga 13;kod kbr. 13;DONJI GRAD
Križanje Bauerove i Martiæeve ;ispred broja 14f;DONJI GRAD
Crnatkova 6;;DONJI GRAD
Ilica;križanje sa F.Petriæa;DONJI GRAD
Jukiæeva;križanje sa Pierottijevom;DONJI GRAD
Meduliæeva 33;;DONJI GRAD
Neznane junakinje 1;sjeverno od zelene površine;DONJI GRAD
Petrinjska;križanje sa Boškoviæevom;DONJI GRAD
Praška 9;ugao sa Trg Nikole Zrinskog;DONJI GRAD
Prilaz Gjure Deželiæa 67;prostor ispred platoa na križanju Primorske i Prilaza Gj. Deželiæa;DONJI GRAD
Trg kralja Petra Krešimira IV. 19;;DONJI GRAD
Ulica Nikole Tesle;ugao sa Gajevom;DONJI GRAD
Varšavska;ugao sa Gunduliæevom;DONJI GRAD
Ulica Ivana Cankara;kod ulaza u školu sa lijeve strane;ÈRNOMEREC
Ilica 175;;ÈRNOMEREC
Trg Francuske republike ;kod okretišta tramvaja;ÈRNOMEREC
Vrhovec-Vinogradi;;ÈRNOMEREC
Jelenovaèki vrh – Vrhovec;kod željeznièke pruge;ÈRNOMEREC
Šestinski dol 52;;ÈRNOMEREC
Sveti Duh 52;uz parkiralište;ÈRNOMEREC
Kustošijanska;kod kružnog toka;ÈRNOMEREC
Lukšiæ Gornji;ugao sa ulicom Himper;ÈRNOMEREC
Mikuliæi 189;istoèno od kbr. 189;ÈRNOMEREC
Petra Zrinskog;kod željeznièke pruge;ÈRNOMEREC
Ulica Republike Austrije 38 Plato kod Hrvatske pošte;Plato kod Hrvatske pošte, do ormariæa za signalizaciju ;ÈRNOMEREC
;;ÈRNOMEREC
Bizek;okretište autobusa 131;PODSUSED-VRAPÈE
Ugao Bolnièke i ulice Majke Terezije;;PODSUSED-VRAPÈE
Bolnièka 94;;PODSUSED-VRAPÈE
Ugao Medpotoki-Šublinov brijeg;;PODSUSED-VRAPÈE
Gospodska- Putine;;PODSUSED-VRAPÈE
Stjepana Ladiše 3;;PODSUSED-VRAPÈE
Križanje Stjepana Ladiše i Perjavice;;PODSUSED-VRAPÈE
Jaèkovina;iza kuænog broja 50;PODSUSED-VRAPÈE
Crnojezerska - Jovinovaèka;;PODSUSED-VRAPÈE
Ulica Gajnice – Grintièke ulica;plac Gajnice;PODSUSED-VRAPÈE
Crnojezerska 11;;PODSUSED-VRAPÈE
Peruanska 6;;PODSUSED-VRAPÈE
Podsusedski trg;okretište BUS-a;PODSUSED-VRAPÈE
Vilova Stipana;ugao sa Vrapèanskom, kod DZ;PODSUSED-VRAPÈE
Vrapèanska 123;ugao sa ulicom Potok, nasuprot Jalšine;PODSUSED-VRAPÈE
Vrapèanska 150;ugao sa Majdakovom, teren uz potok;PODSUSED-VRAPÈE
Vrapèanska 206;kod Kukoljine, teren uz potok;PODSUSED-VRAPÈE
Zelena magistrala 8 ;kod trafostanice;PODSUSED-VRAPÈE
Ulica Jurija Šižgoriæa i Vida Došena;;STENJEVEC
Križanje ulice Špansko i Maršaniæi;;STENJEVEC
Cesariæeva 65-67;;STENJEVEC
Mike Tripala 8;most do Plavenskog puta;STENJEVEC
Kaljska i Gustava Krkleca;;STENJEVEC
Milana Rešetara 2 i 4 ;kod trafostanice;STENJEVEC
Matije Divkoviæa i Tušiloveèke;;STENJEVEC
Dinarski put 1d;;STENJEVEC
Križanje ulice Drage Ivaniševiæa i I.B.Mažuraniæ;;STENJEVEC
Antuna Šoljana 6;;STENJEVEC
Èepinski put 46;ugao sa Kopaèevskim putem;STENJEVEC
Gervaisova 22;kod trafostanice;STENJEVEC
Ivanèana Dubravka 4;kod mosta potoka Vrapèak;STENJEVEC
Oranice 40;ugao sa Medarskom ;STENJEVEC
Poljaèka;ugao sa Radgonskom;STENJEVEC
Topiæa Mimare Ante 43;križanje sa M.Matošeca;STENJEVEC
Vrapèanska putina;ugao sa Donje Vrapèe;STENJEVEC
Zagrebaèka cesta 160;;STENJEVEC
Zagrebaèka cesta;ugao sa Joze Martinoviæa;STENJEVEC
Hudobièka;nasuprot kuænog broja 30;BREZOVICA
Raskrižje Desprimske ulice i poljskog puta;;BREZOVICA
Kupineèki Kraljevec, Kraljeveèka c. 73;zemljište uz parkiralište Mjesne samouprave;BREZOVICA
Cvetki 26;parcela uz autocestu Rijeka Zagreb kod naplatnih kuæica;BREZOVICA
Trpuèanska cesta 28;zemljište kod Mjesne samouprave Trpuci kod DVD-a;BREZOVICA
Vušni vrh Dragonožec, Dragonožeèka cesta 32;Parcela uz ulicu;BREZOVICA
Strmeèka cesta;zemljište kod okretišta autobusa;BREZOVICA
Horvaæanski trg 2;Zemljište kod Mjesne samouprave;BREZOVICA
Lipnièka cesta 1. odvojak ;Parcela uz cestu;BREZOVICA
Havidièka cesta;zemljište uz prilaznièki put;BREZOVICA
Donjodragonoška cesta 30;kod MS;BREZOVICA
Širanoviæi 57;ugao sa Palijaški ogranak;BREZOVICA
Jakuševec, A.Brdarièa;nasuprot kuænog broja 18;NOVI ZAGREB ISTOK
Šišiæeva ulica 5;;NOVI ZAGREB ISTOK
Zaprudski otok, B. Magovca;nasuprot kuænog broja 63;NOVI ZAGREB ISTOK
Zaprudski otok, Sv. Mateja 91;kod DVD Hreliæ;NOVI ZAGREB ISTOK
S. Gradiæa -V. Fellera;nasuprot kuænog broja 13;NOVI ZAGREB ISTOK
Oreškoviæeva 37a - 37e;;NOVI ZAGREB ISTOK
Ksenija Kantoci;nasuprot kuænog broja 3;NOVI ZAGREB ISTOK
Jakuševec,Tišinska;kod igrališta;NOVI ZAGREB ISTOK
Turinina;preko puta Porezne uprave;NOVI ZAGREB ISTOK
Julinska cesta;ugao sa ulicom Mladosti;NOVI ZAGREB ISTOK
Huga Ehrlicha 13;;NOVI ZAGREB ISTOK
Ulica Mladosti I.odvojak;kod željeznièke pruge;NOVI ZAGREB ISTOK
Ulica Zulejke Stefanini Tuæan;iza ugostiteljske škole;NOVI ZAGREB ISTOK
Velikopoljska ulica;ugao sa Solinskom;NOVI ZAGREB ISTOK
Lanište, Blato;do hotela, nasuprot kuænog broja 13;NOVI ZAGREB ZAPAD
Ulica Zlatareva zlata 87-89;;NOVI ZAGREB ZAPAD
Siget 18a;;NOVI ZAGREB ZAPAD
Lanište 26;;NOVI ZAGREB ZAPAD
Ugao Karlovaèke i Pogaèiæeve;;NOVI ZAGREB ZAPAD
Kupineèka 34b, Blato;ispred;NOVI ZAGREB ZAPAD
Aleja Pomoraca 23;pokraj;NOVI ZAGREB ZAPAD
Trnsko 23a;;NOVI ZAGREB ZAPAD
Hermanova 37;ulica uz igralište;NOVI ZAGREB ZAPAD
Froudeova 3;preko puta benzinske stanice;NOVI ZAGREB ZAPAD
Horvatova;ugao sa Oreškoviæevom;NOVI ZAGREB ZAPAD
Hrastovièka 34;;NOVI ZAGREB ZAPAD
Hrašæanska 87;kod igrališta;NOVI ZAGREB ZAPAD
Ježdoveèka 24;;NOVI ZAGREB ZAPAD
Ježdoveèki odvojak 2;;NOVI ZAGREB ZAPAD
Malomlaèka ulica 91;;NOVI ZAGREB ZAPAD
Odranska 82;;NOVI ZAGREB ZAPAD
Pilinka;Hrvatski Leskovac;NOVI ZAGREB ZAPAD
Puškariæeva;Ugao sa Hrastovièkom;NOVI ZAGREB ZAPAD
Remetineèki gaj 3;pokraj autobusne stanice;NOVI ZAGREB ZAPAD
Remetineèkih žrtava 1;;NOVI ZAGREB ZAPAD
Sisaèka cesta;ugao sa Buriæevim odvojkom;NOVI ZAGREB ZAPAD
